make,cell,batch,param,value,soh_first,expected,residual_z
CALB,0030,2,q_over_nameplate,0.5470833333333334,0.6599694444444444,0.7200122269537124,2.426225797847927
CALB,0020,2,q_over_nameplate,0.5132361111111111,0.641575,0.7165237040885767,2.8521642169704586
CALB,0009,2,r0_median,0.3504260446453921,0.7019305555555555,0.758437785522108,2.028914475456996
CALB,0020,2,r0_median,1.4136239560217398,0.641575,0.7920992548849288,3.090647490390691
REPT,0034,1,r0_median,0.18117659490166776,0.5453693333333334,0.51606724895322,2.528411644436179
EVE,0006,1,r0_median,2.8313486188024752,0.9974552392959595,1.4053787628752077,2.10760705728728
CALB,0020,2,tau_median,831.2183783210141,0.641575,715.8785259702346,3.810188901448551
REPT,0034,1,tau_median,775.8277531700015,0.5453693333333334,799.6725068726543,2.396954867619031
CALB,0020,2,self_disch,0.0124773171878687,0.641575,0.012043951833480634,2.184790256046825
CALB,0020,2,v_plat,3.2366975,0.641575,3.261420470335617,3.9339857121586803
REPT,0078,1,v_plat,3.258674,1.015436,3.2647304855478674,2.0805797412064075
