cell_id,make,metric,value,reason
0001,CALB,V_top,3.30781809,below 3.35
0001,REPT,V_top,3.32524168,below 3.35
0002,CALB,V_top,3.311071,below 3.35
0002,REPT,V_top,3.3274753199999996,below 3.35
0003,CALB,V_top,3.31416411,below 3.35
0003,REPT,V_top,3.3269939600000002,below 3.35
0004,CALB,V_top,3.3039878,below 3.35
0004,REPT,V_top,3.3281023,below 3.35
0005,CALB,V_top,3.30946926,below 3.35
0006,CALB,V_top,3.30655273,below 3.35
0007,CALB,V_top,3.30566016,below 3.35
0007,REPT,V_top,3.32317889,below 3.35
0008,CALB,V_top,3.30653188,below 3.35
0009,CALB,V_top,3.3111298,below 3.35
0010,CALB,V_top,3.3084684799999997,below 3.35
0011,CALB,V_top,3.31414696,below 3.35
0011,REPT,V_top,3.3271211500000004,below 3.35
0012,CALB,V_top,3.3091450399999998,below 3.35
0012,REPT,V_top,3.32565086,below 3.35
0013,CALB,V_top,3.3054077200000003,below 3.35
0014,CALB,V_top,3.30389621,below 3.35
0015,CALB,V_top,3.3137985199999997,below 3.35
0016,CALB,V_top,3.31526084,below 3.35
0017,CALB,V_top,3.31097488,below 3.35
0018,CALB,V_top,3.30838277,below 3.35
0019,CALB,V_top,3.30676925,below 3.35
0020,CALB,V_top,3.3108772099999997,below 3.35
0021,CALB,V_top,3.3104815600000004,below 3.35
0022,CALB,V_top,3.31281399,below 3.35
0023,CALB,V_top,3.3125354000000002,below 3.35
0024,CALB,V_top,3.3087168499999997,below 3.35
0025,REPT,V_top,3.3254557000000005,below 3.35
0027,CALB,V_top,3.31295143,below 3.35
0028,REPT,V_top,3.3311594000000007,below 3.35
0029,CALB,V_top,3.30088273,below 3.35
0030,CALB,V_top,3.30640752,below 3.35
0031,REPT,V_top,3.31901728,below 3.35
0032,REPT,V_top,3.33249914,below 3.35
0034,REPT,V_top,3.3200943,below 3.35
0037,REPT,V_top,3.3234418500000005,below 3.35
0040,REPT,V_top,3.3233926000000005,below 3.35
0043,REPT,V_top,3.32993582,below 3.35
0001,EVE,V_bottom,2.82768344,above 2.8
0001,REPT,V_bottom,2.82017791,above 2.8
0002,EVE,V_bottom,2.825792,above 2.8
0002,REPT,V_bottom,2.81888721,above 2.8
0003,EVE,V_bottom,2.82964824,above 2.8
0003,REPT,V_bottom,2.82517416,above 2.8
0004,EVE,V_bottom,2.83007904,above 2.8
0004,REPT,V_bottom,2.8267277,above 2.8
0005,EVE,V_bottom,2.82498464,above 2.8
0006,EVE,V_bottom,2.8259002300000002,above 2.8
0007,EVE,V_bottom,2.82525664,above 2.8
0007,REPT,V_bottom,2.81789607,above 2.8
0008,EVE,V_bottom,2.8264709199999998,above 2.8
0011,REPT,V_bottom,2.82517498,above 2.8
0012,REPT,V_bottom,2.8220584,above 2.8
0025,REPT,V_bottom,2.8221442,above 2.8
0028,REPT,V_bottom,2.82199102,above 2.8
0031,REPT,V_bottom,2.8060329200000003,above 2.8
0032,REPT,V_bottom,2.81622962,above 2.8
0034,REPT,V_bottom,2.8102253,above 2.8
0037,REPT,V_bottom,2.8133842000000002,above 2.8
0040,REPT,V_bottom,2.8156141999999997,above 2.8
0043,REPT,V_bottom,2.8298500200000003,above 2.8
0002,CALB,coulombic_efficiency_pct,100.05723314343683,above 100.0
0002,EVE,coulombic_efficiency_pct,100.13275511949892,above 100.0
0002,REPT,coulombic_efficiency_pct,104.35057255777798,above 100.0
0003,CALB,coulombic_efficiency_pct,100.07301422336118,above 100.0
0003,EVE,coulombic_efficiency_pct,100.18489732724076,above 100.0
0003,REPT,coulombic_efficiency_pct,100.00581325086847,above 100.0
0004,CALB,coulombic_efficiency_pct,142.0443897086402,above 100.0
0004,EVE,coulombic_efficiency_pct,100.24593240210224,above 100.0
0004,REPT,coulombic_efficiency_pct,100.8605555248854,above 100.0
0005,CALB,coulombic_efficiency_pct,100.11071720132696,above 100.0
0005,EVE,coulombic_efficiency_pct,100.08275228488627,above 100.0
0006,CALB,coulombic_efficiency_pct,178.24845266121275,above 100.0
0006,EVE,coulombic_efficiency_pct,100.36450401846504,above 100.0
0007,CALB,coulombic_efficiency_pct,100.08762920644192,above 100.0
0007,EVE,coulombic_efficiency_pct,100.15578812393362,above 100.0
0007,REPT,coulombic_efficiency_pct,100.81335997543233,above 100.0
0008,CALB,coulombic_efficiency_pct,100.10443400116148,above 100.0
0008,EVE,coulombic_efficiency_pct,157.82711469899874,above 100.0
0009,CALB,coulombic_efficiency_pct,197.0424080350931,above 100.0
0010,CALB,coulombic_efficiency_pct,100.30092081188613,above 100.0
0011,REPT,coulombic_efficiency_pct,159.567344622468,above 100.0
0012,CALB,coulombic_efficiency_pct,100.15350435626291,above 100.0
0013,CALB,coulombic_efficiency_pct,100.16103008586741,above 100.0
0014,CALB,coulombic_efficiency_pct,137.16080994879187,above 100.0
0015,CALB,coulombic_efficiency_pct,100.23068900770906,above 100.0
0017,CALB,coulombic_efficiency_pct,100.12469824903252,above 100.0
0018,CALB,coulombic_efficiency_pct,100.04598275793641,above 100.0
0019,CALB,coulombic_efficiency_pct,100.36678121412905,above 100.0
0021,CALB,coulombic_efficiency_pct,100.25620101653615,above 100.0
0022,CALB,coulombic_efficiency_pct,198.13090558632226,above 100.0
0023,CALB,coulombic_efficiency_pct,100.00556832355912,above 100.0
0024,CALB,coulombic_efficiency_pct,146.2834188912897,above 100.0
0025,REPT,coulombic_efficiency_pct,100.10627901908963,above 100.0
0027,CALB,coulombic_efficiency_pct,100.11696966064423,above 100.0
0029,CALB,coulombic_efficiency_pct,159.40177654216774,above 100.0
0031,REPT,coulombic_efficiency_pct,100.09873039377443,above 100.0
0032,REPT,coulombic_efficiency_pct,169.69630219303312,above 100.0
0040,REPT,coulombic_efficiency_pct,104.71566325035441,above 100.0
0043,REPT,coulombic_efficiency_pct,156.7911261029094,above 100.0
0001,REPT,capacity_Ah,151.65301015902529,above 115.0
0002,REPT,capacity_Ah,148.81362908993526,above 115.0
0003,REPT,capacity_Ah,152.51294376975605,above 115.0
0004,REPT,capacity_Ah,153.54791297066475,above 115.0
0007,REPT,capacity_Ah,148.17786732093504,above 115.0
0011,REPT,capacity_Ah,153.28759986563838,above 115.0
0012,REPT,capacity_Ah,148.79039638745238,above 115.0
0020,CALB,capacity_Ah,36.11013945239473,below 40.0
0025,REPT,capacity_Ah,150.82897152845277,above 115.0
0028,REPT,capacity_Ah,146.9487897974172,above 115.0
0030,CALB,capacity_Ah,39.39059884428694,below 40.0
0031,REPT,capacity_Ah,151.6136316710406,above 115.0
0032,REPT,capacity_Ah,149.3086011771942,above 115.0
0034,REPT,capacity_Ah,150.35437830354527,above 115.0
0037,REPT,capacity_Ah,148.1378440240733,above 115.0
0040,REPT,capacity_Ah,153.3051264673191,above 115.0
0043,REPT,capacity_Ah,154.23347603121198,above 115.0
0005,CALB,dV_per_sqrt_t,-0.0128340606762768,below -0.01
0001,EVE,monotone_frac,0.5973154362416108,below 0.6
0002,CALB,monotone_frac,0.5810473815461347,below 0.6
0027,CALB,monotone_frac,0.585,below 0.6
