make,cell_id_anon,n_total,n_test,rmse_pinn_pp,rmse_phys_pp
MFR_A,A6,1105,944,3.645269200205803,19.97150033712387
MFR_A,A7,1194,1063,1.5116522088646889,37.50355541706085
MFR_A,A10,1031,859,3.3454716205596924,4.694351181387901
MFR_A,A14,1303,1129,3.2141786068677902,34.712570905685425
MFR_A,A19,1217,1060,1.6654795035719872,33.2417756319046
MFR_A,A20,1301,1091,3.694042563438416,5.157772824168205
MFR_A,A25,1445,1237,2.928009070456028,1.376318372786045
MFR_C,C1,213,144,0.0894301512744277,0.170015636831522
MFR_C,C3,204,131,0.1929109450429678,0.5085146985948086
MFR_C,C7,205,126,0.4550387151539325,0.4213789477944374
MFR_C,C28,213,132,0.4881487227976322,0.4256622865796089
MFR_C,C43,213,136,0.3003735560923815,0.1885885722003877
MFR_C,C57,215,150,0.2422955818474292,0.0334504642523825
MFR_C,C74,208,138,0.1798599259927868,0.1569301588460803
MFR_C,C78,213,133,0.378796923905611,0.3147884970530867
MFR_C,C87,211,144,0.1392461126670241,0.4814954474568367
MFR_B,B2,150,84,0.8751523680984974,0.2495571970939636
MFR_B,B3,150,88,0.684338016435504,1.3035258278250694
MFR_B,B4,150,91,0.9668466635048388,0.4096872173249721
MFR_B,B8,149,79,0.895049050450325,0.3290195949375629
